ItemID,ItemNo,Status,ReasonCode,status_code_id,status_date,FromLocationCode,FromLocationName,ToLocationCode,ToLocationName,CustAccNum
550,RR770282038SG,RP,,,2/1/2025 10:00,POWDL,Woodlands Central,POWDL,Woodlands Central,
551,RR770282041SG,RP,,,2/1/2025 9:02,POKLR,Killiney Road,POKLR,Killiney Road,
552,RR770282055SG,RP,,,2/1/2025 11:00,POHGC,Hougang Central,POHGC,Hougang Central,
553,RR770282086SG,RP,,,2/1/2025 11:05,POJRP,Jurong Point,POJRP,Jurong Point,
554,RR770282090SG,RP,,,2/1/2025 13:11,POTPC,Toa Payoh Central,POTPC,Toa Payoh Central,
555,RR770282126SG,RP,,,2/1/2025 10:00,POWDL,Woodlands Central,POWDL,Woodlands Central,
556,RR770282130SG,RP,,,2/1/2025 10:02,POWDL,Woodlands Central,POWDL,Woodlands Central,
557,RR770282174SG,RP,,,2/1/2025 9:23,POCMW,Clementi West,POCMW,Clementi West,
558,RR770282188SG,RP,,,2/1/2025 11:00,POHGC,Hougang Central,POHGC,Hougang Central,
559,RR770282191SG,RP,,,2/1/2025 11:05,POJRP,Jurong Point,POJRP,Jurong Point,
560,RR770282205SG,RP,,,2/1/2025 10:47,POBPJ,Bukit Panjang,POBPJ,Bukit Panjang,
561,RR770282228SG,RP,,,2/1/2025 9:23,POCMW,Clementi West,POCMW,Clementi West,
562,RR770282293SG,RP,,,2/1/2025 11:05,POJRP,Jurong Point,POJRP,Jurong Point,
563,RR770282355SG,RP,,,2/1/2025 10:58,POCCK,Choa Chu Kang Central,POCCK,Choa Chu Kang Central,
564,RR770282404SG,RP,,,2/1/2025 10:02,POWDL,Woodlands Central,POWDL,Woodlands Central,
565,RR770282421SG,RP,,,2/1/2025 11:21,POTGP,Tanjong Pagar,POTGP,Tanjong Pagar,
566,RR770282452SG,RP,,,2/1/2025 9:08,POKLR,Killiney Road,POKLR,Killiney Road,
567,RR770282470SG,RP,,,2/1/2025 12:47,POTWR,Towner,POTWR,Towner,
568,RR770282483SG,RP,,,2/1/2025 10:00,POWDL,Woodlands Central,POWDL,Woodlands Central,
569,RR770282510SG,RP,,,2/1/2025 12:47,POTWR,Towner,POTWR,Towner,
570,RR770282639SG,RP,,,2/1/2025 12:11,POBBC,Bukit Batok Central,POBBC,Bukit Batok Central,
571,RR770282642SG,RP,,,2/1/2025 10:02,POWDL,Woodlands Central,POWDL,Woodlands Central,
572,RR770282727SG,RP,,,2/1/2025 12:11,POBBC,Bukit Batok Central,POBBC,Bukit Batok Central,
573,RR770282758SG,RP,,,2/1/2025 12:11,POBBC,Bukit Batok Central,POBBC,Bukit Batok Central,
574,RR770282775SG,RP,,,2/1/2025 10:51,POAKC,Ang Mo Kio Central,POAKC,Ang Mo Kio Central,
575,RR770282789SG,PL,,,2/1/2025 10:04,PO041,POPStop Bishan,PO041,POPStop Bishan,
576,RR770282789SG,RP,,,2/1/2025 10:06,POBSH,Bishan,POBSH,Bishan,
577,RS028331722RU,RP,,,2/1/2025 10:40,POKLR,Killiney Road,POKLR,Killiney Road,
578,RT007128925IN,RP,,,2/1/2025 10:58,POCCK,Choa Chu Kang Central,POCCK,Choa Chu Kang Central,
579,RT007182736IN,RP,,,2/1/2025 10:58,POCCK,Choa Chu Kang Central,POCCK,Choa Chu Kang Central,
